,id,mood
0,AS14.01,6.333333333333333
1,AS14.01,6.2
2,AS14.01,6.4
3,AS14.01,6.8
4,AS14.01,6.0
5,AS14.01,6.75
6,AS14.01,6.6
7,AS14.01,7.0
8,AS14.01,6.4
9,AS14.01,8.0
10,AS14.01,7.5
11,AS14.01,7.4
12,AS14.01,6.0
13,AS14.01,6.5
14,AS14.01,6.4
15,AS14.01,6.2
16,AS14.01,6.8
17,AS14.01,6.5
18,AS14.01,6.5
19,AS14.01,6.6
20,AS14.01,7.4
21,AS14.01,7.4
22,AS14.01,7.0
23,AS14.01,7.25
24,AS14.01,8.0
25,AS14.01,7.2
26,AS14.01,6.4
27,AS14.01,7.2
28,AS14.01,6.625
29,AS14.01,6.8
30,AS14.01,7.8
31,AS14.01,7.25
46,AS14.02,6.75
47,AS14.02,8.2
48,AS14.02,6.8
49,AS14.02,7.25
50,AS14.02,7.5
51,AS14.02,6.5
52,AS14.02,6.25
53,AS14.02,6.4
54,AS14.02,7.75
55,AS14.02,7.2
56,AS14.02,7.25
57,AS14.02,6.8
58,AS14.02,7.25
59,AS14.02,7.0
60,AS14.02,7.2
61,AS14.02,7.4
62,AS14.02,6.4
63,AS14.02,5.75
64,AS14.02,6.4
65,AS14.02,7.4
66,AS14.02,4.5
67,AS14.02,6.8
68,AS14.02,6.25
69,AS14.02,7.25
70,AS14.02,7.25
71,AS14.02,6.5
72,AS14.02,6.0
73,AS14.02,7.2
86,AS14.03,7.8
87,AS14.03,8.2
88,AS14.03,7.8
89,AS14.03,7.8
90,AS14.03,8.25
91,AS14.03,7.75
92,AS14.03,8.0
93,AS14.03,8.6
94,AS14.03,8.4
95,AS14.03,7.4
96,AS14.03,7.6
97,AS14.03,7.4
98,AS14.03,7.8
99,AS14.03,7.8
100,AS14.03,7.6
101,AS14.03,6.8
102,AS14.03,7.4
103,AS14.03,7.4
104,AS14.03,7.8
105,AS14.03,7.4
106,AS14.03,7.6
107,AS14.03,7.666666666666667
108,AS14.03,7.4
109,AS14.03,7.0
110,AS14.03,7.6
111,AS14.03,8.0
112,AS14.03,7.25
113,AS14.03,7.5
114,AS14.03,7.8
115,AS14.03,7.5
116,AS14.03,7.4
117,AS14.03,7.6
132,AS14.05,6.2
133,AS14.05,6.333333333333333
134,AS14.05,6.0
135,AS14.05,7.5
136,AS14.05,6.75
137,AS14.05,7.2
138,AS14.05,7.25
139,AS14.05,3.75
140,AS14.05,4.4
141,AS14.05,3.75
142,AS14.05,5.333333333333333
143,AS14.05,5.5
144,AS14.05,5.8
145,AS14.05,6.2
146,AS14.05,6.4
147,AS14.05,6.2
148,AS14.05,6.8
149,AS14.05,7.0
150,AS14.05,7.0
151,AS14.05,7.2
152,AS14.05,7.0
153,AS14.05,7.5
154,AS14.05,6.8
155,AS14.05,6.75
156,AS14.05,6.75
157,AS14.05,7.0
158,AS14.05,7.2
159,AS14.05,7.0
160,AS14.05,7.0
161,AS14.05,7.5
162,AS14.05,6.4
163,AS14.05,7.0
164,AS14.05,7.2
165,AS14.05,6.6
166,AS14.05,7.5
167,AS14.05,7.2
184,AS14.06,7.0
185,AS14.06,8.0
186,AS14.06,7.0
187,AS14.06,7.6
188,AS14.06,7.8
189,AS14.06,7.8
190,AS14.06,7.0
191,AS14.06,7.75
192,AS14.06,6.8
193,AS14.06,7.2
194,AS14.06,7.0
195,AS14.06,7.0
196,AS14.06,7.0
197,AS14.06,6.2
198,AS14.06,6.6
199,AS14.06,7.4
200,AS14.06,7.6
201,AS14.06,7.8
202,AS14.06,8.2
203,AS14.06,6.666666666666667
204,AS14.06,7.25
205,AS14.06,7.0
206,AS14.06,7.6
207,AS14.06,6.8
208,AS14.06,6.25
209,AS14.06,6.8
210,AS14.06,8.2
211,AS14.06,7.0
212,AS14.06,6.6
213,AS14.06,7.0
228,AS14.07,5.25
229,AS14.07,7.0
230,AS14.07,6.0
231,AS14.07,7.75
232,AS14.07,8.0
233,AS14.07,7.666666666666667
234,AS14.07,6.6
235,AS14.07,6.8
236,AS14.07,8.25
237,AS14.07,7.0
238,AS14.07,6.2
239,AS14.07,4.333333333333333
240,AS14.07,6.6
241,AS14.07,5.5
242,AS14.07,6.2
243,AS14.07,6.5
244,AS14.07,6.0
245,AS14.07,6.75
246,AS14.07,5.4
247,AS14.07,6.8
248,AS14.07,6.4
249,AS14.07,6.2
250,AS14.07,3.5
251,AS14.07,6.4
252,AS14.07,6.5
253,AS14.07,6.2
254,AS14.07,6.0
255,AS14.07,4.75
256,AS14.07,3.8
257,AS14.07,5.2
258,AS14.07,7.0
259,AS14.07,3.0
275,AS14.08,7.2
276,AS14.08,7.4
277,AS14.08,7.0
278,AS14.08,7.2
279,AS14.08,6.8
280,AS14.08,6.6
281,AS14.08,7.0
282,AS14.08,6.6
283,AS14.08,7.4
284,AS14.08,6.4
285,AS14.08,7.0
286,AS14.08,5.4
287,AS14.08,6.4
288,AS14.08,7.0
